"","species","belly.PC1","belly.PC2","breast.PC1","breast.PC2","cheek.PC1","cheek.PC2","chin.PC1","chin.PC2","crown.PC1","crown.PC2","dorsal_tail.PC1","dorsal_tail.PC2","flank.PC1","flank.PC2","mantle.PC1","mantle.PC2","nape.PC1","nape.PC2","prim_sec.PC1","prim_sec.PC2","rump.PC1","rump.PC2","scapular.PC1","scapular.PC2","tail_coverts.PC1","tail_coverts.PC2","throat.PC1","throat.PC2","wing_coverts.PC1","wing_coverts.PC2"
"22","Crossoptilon_mantchuricum",1.279437,-0.651521845,-1.424464053,0.652679584,-2.884960719,-0.108963349,3.789804495,-4.094043008,-2.417158704,-0.25304407,3.474203247,-3.950936767,-0.949865003,0.672439778,1.772694377,-1.159260967,-2.682626184,-0.582342713,0.883544718,0.129201336,4.253376511,2.287756162,0.329294571,-1.085807095,1.998387663,-2.049231083,-2.188474791,-0.356111349,-0.131370166,-1.240970512
"41","Ortalis_vetula",-5.581863895,0.936750275,3.871941638,-2.092910276,0.439265855,-0.232600865,-0.442456527,0.422410557,0.241667393,-0.321649116,-0.628171347,1.019854437,4.665719742,1.330592833,-0.193140698,0.289289988,-1.017100745,0.306289678,-1.507761455,-0.089449456,-1.095942728,-0.079330512,1.303891033,0.931284997,-0.607264619,0.174052488,1.501265422,0.23010625,0.581806226,0.21611336
"43","Pavo_muticus",2.534515378,0.525308014,-0.328343245,-2.897106173,-2.890222033,-0.124845755,-2.569383048,-2.347793113,0.684631595,7.5519686,0.269820743,0.472044763,-3.166543845,-1.644312036,-4.881672302,5.590818674,1.526741148,1.19541712,-13.82838072,-6.888942674,0.993922329,0.355056938,-2.243155597,2.793836198,-3.711957512,-6.370856879,0.895672372,0.137241864,-3.850130563,0.742648753
"42","Pavo_cristatus",2.785170463,1.34308026,-5.259169713,-5.43066972,-2.844789349,0.015030475,-2.545176984,-2.618057941,-2.194869071,7.571563177,1.54670574,-0.648306695,-3.441650619,-2.041759276,-5.746589199,3.439974359,-6.50623721,8.544650001,-3.871659625,-4.243807942,5.353386554,-1.65944241,-2.427904636,-0.233012974,-4.53771647,-6.886788439,-5.400267336,13.37469101,-3.75065096,-0.338241719
"13","Bonasa_bonasia",-2.005687764,1.316053258,0.807011244,1.019620349,1.016813595,0.175895316,-2.574081757,0.335455312,1.902621093,-1.198191625,0.452185365,0.435236965,2.053086278,0.598865812,-1.557027029,0.243654113,2.098473692,0.158682215,-2.012364022,-1.24186761,0.445780605,0.259807913,2.86249873,-0.223079254,0.893084927,-0.412978598,-1.538287969,-0.672686995,2.107088232,0.279907122
"14","Bonasa_umbellus",-3.211193525,2.367438254,6.104546335,-1.841392574,3.427902607,-1.358506185,6.331958811,1.241522312,1.972620216,-1.38290801,1.289391054,0.152553798,1.878724793,-0.876823749,-1.313443253,-0.480601863,2.320397438,-0.070363582,-0.52450184,-2.011509717,0.003421771,-1.014053113,-1.572064759,-1.742720135,0.905879508,0.69046474,6.166875542,-1.422981923,1.06366746,-0.923406026
"61","Tetrao_tetrix",2.916156371,-0.110378346,-3.845422551,0.138505197,-2.581408699,-0.092567712,-2.828639326,-0.00690842,-2.09909607,-0.278928927,-0.964283311,1.776231279,-3.299343291,-0.282217108,3.667255928,-1.400056516,-3.935821072,-0.666806173,-0.149183398,-0.84659705,-4.710762696,0.253683567,-1.640367162,-0.891433223,-3.418661288,1.101521256,-2.743646926,-0.222442616,-1.891056554,-1.24829817
"39","Meleagris_gallopavo",-0.482624351,1.741552803,1.476865477,-2.394593742,-2.834814216,0.048746644,-3.31607374,-0.339933816,-2.551656397,-0.120473141,-0.865543264,1.562016989,0.278929857,-2.55146025,-2.333957148,-0.238979493,-3.041234127,-0.288042398,2.255878389,1.183943395,-3.230458237,0.077709664,3.609950368,0.674831381,7.874286933,0.795577329,-2.733359113,-0.038632296,5.043892625,-0.899643004
"40","Numida_meleagris",3.130263702,0.218685815,-1.079908473,-2.165996325,-2.860198498,-0.009473148,-3.34793932,-0.277028067,-2.547899662,-0.118954303,-1.263287236,1.820661861,-3.689579022,-1.101242967,1.823904102,-0.40847116,-3.040520015,-0.291329306,2.33632464,0.727182938,-2.210435135,0.466436102,-1.923953723,-0.438579242,-2.801206436,0.691679759,-2.770139088,-0.092487164,-3.002085821,-1.337854936
"3","Agriocharis_ocellata",-2.602874568,-5.509307656,1.040231861,0.352545348,-2.850738176,0.037648173,-3.34203379,-0.305833985,-2.568307729,-0.157966312,1.756812832,0.382060241,4.488287467,6.428794143,-0.168348419,3.079224933,-3.056625405,-0.334991639,0.975380701,0.276434187,2.789446955,4.626940161,3.056672445,3.580433835,10.4566388,2.160136445,-2.755712681,-0.056228906,7.442899048,0.077121034
